x,y
-1,-0.118033988749894
-0.995,-0.11411207751967
-0.99,-0.110234887648996
-0.985,-0.106402419137872
-0.98,-0.102614671986298
-0.975,-0.098871646194273
-0.97,-0.095173341761799
-0.965,-0.091519758688876
-0.96,-0.087910896975501
-0.955,-0.084346756621677
-0.95,-0.080827337627403
-0.945,-0.077352639992678
-0.94,-0.073922663717504
-0.935,-0.07053740880188
-0.93,-0.067196875245806
-0.925,-0.063901063049282
-0.92,-0.060649972212308
-0.915,-0.057443602734884
-0.91,-0.054281954617009
-0.905,-0.051165027858685
-0.9,-0.048092822459911
-0.895,-0.045065338420686
-0.89,-0.042082575741012
-0.885,-0.039144534420888
-0.88,-0.036251214460314
-0.875,-0.03340261585929
-0.87,-0.030598738617815
-0.865,-0.027839582735891
-0.86,-0.025125148213517
-0.855,-0.022455435050693
-0.85,-0.019830443247418
-0.845,-0.017250172803694
-0.84,-0.01471462371952
-0.835,-0.012223795994895
-0.83,-0.009777689629821
-0.825,-0.007376304624297
-0.82,-0.005019640978323
-0.815,-0.002707698691898
-0.81,-0.000440477765024
-0.805,0.0017820218023
-0.8,0.003959800010075
-0.795,0.006092856858299
-0.79,0.008181192346973
-0.785,0.010224806476098
-0.78,0.012223699245672
-0.775,0.014177870655696
-0.77,0.016087320706171
-0.765,0.017952049397095
-0.76,0.019772056728469
-0.755,0.021547342700294
-0.75,0.023277907312568
-0.745,0.024963750565293
-0.74,0.026604872458467
-0.735,0.028201272992091
-0.73,0.029752952166166
-0.725,0.03125990998069
-0.72,0.032722146435665
-0.715,0.034139661531089
-0.71,0.035512455266963
-0.705,0.036840527643288
-0.7,0.038123878660062
-0.695,0.039362508317286
-0.69,0.040556416614961
-0.685,0.041705603553085
-0.68,0.04281006913166
-0.675,0.043869813350684
-0.67,0.044884836210158
-0.665,0.045855137710083
-0.66,0.046780717850458
-0.655,0.047661576631282
-0.65,0.048497714052556
-0.645,0.049289130114281
-0.64,0.050035824816455
-0.635,0.05073779815908
-0.63,0.051395050142154
-0.625,0.052007580765679
-0.62,0.052575390029653
-0.615,0.053098477934078
-0.61,0.053576844478952
-0.605,0.054010489664276
-0.6,0.054399413490051
-0.595,0.054743615956276
-0.59,0.05504309706295
-0.585,0.055297856810075
-0.58,0.055507895197649
-0.575,0.055673212225674
-0.57,0.055793807894148
-0.565,0.055869682203073
-0.56,0.055900835152447
-0.555,0.055887266742272
-0.55,0.055828976972546
-0.545,0.055725965843271
-0.54,0.055578233354445
-0.535,0.05538577950607
-0.53,0.055148604298145
-0.525,0.054866707730669
-0.52,0.054540089803644
-0.515,0.054168750517068
-0.51,0.053752689870943
-0.505,0.053291907865267
-0.5,0.052786404500042
-0.495,0.052236179775267
-0.49,0.051641233690941
-0.485,0.051001566247066
-0.48,0.05031717744364
-0.475,0.049588067280665
-0.47,0.048814235758139
-0.465,0.047995682876064
-0.46,0.047132408634439
-0.455,0.046224413033263
-0.45,0.045271696072538
-0.445,0.044274257752263
-0.44,0.043232098072437
-0.435,0.042145217033062
-0.43,0.041013614634136
-0.425,0.039837290875661
-0.42,0.038616245757636
-0.415,0.03735047928006
-0.41,0.036039991442935
-0.405,0.03468478224626
-0.4,0.033284851690034
-0.395,0.031840199774259
-0.39,0.030350826498934
-0.385,0.028816731864058
-0.38,0.027237915869633
-0.375,0.025614378515658
-0.37,0.023946119802133
-0.365,0.022233139729057
-0.36,0.020475438296432
-0.355,0.018673015504257
-0.35,0.016825871352531
-0.345,0.014934005841256
-0.34,0.012997418970431
-0.335,0.011016110740055
-0.33,0.00899008115013
-0.325,0.006919330200655
-0.32,0.00480385789163
-0.315,0.002643664223054
-0.31,0.000438749194929
-0.305,-0.001810887192746
-0.3,-0.004105244939971
-0.295,-0.006444324046747
-0.29,-0.008828124513072
-0.285,-0.011256646338947
-0.28,-0.013729889524372
-0.275,-0.016247854069348
-0.27,-0.018810539973873
-0.265,-0.021417947237948
-0.26,-0.024070075861573
-0.255,-0.026766925844748
-0.25,-0.029508497187474
-0.245,-0.032294789889749
-0.24,-0.035125803951574
-0.235,-0.038001539372949
-0.23,-0.040921996153875
-0.225,-0.04388717429435
-0.22,-0.046897073794375
-0.215,-0.04995169465395
-0.21,-0.053051036873075
-0.205,-0.05619510045175
-0.2,-0.059383885389976
-0.195,-0.062617391687751
-0.19,-0.065895619345076
-0.185,-0.069218568361951
-0.18,-0.072586238738376
-0.175,-0.075998630474351
-0.17,-0.079455743569876
-0.165,-0.082957578024952
-0.16,-0.086504133839577
-0.155,-0.090095411013752
-0.15,-0.093731409547477
-0.145,-0.097412129440752
-0.14,-0.101137570693577
-0.135,-0.104907733305952
-0.13,-0.108722617277878
-0.125,-0.112582222609353
-0.12,-0.116486549300378
-0.115,-0.120435597350953
-0.11,-0.124429366761078
-0.105,-0.128467857530753
-0.1,-0.132551069659978
-0.095,-0.136679003148753
-0.09,-0.140851657997078
-0.085,-0.145069034204953
-0.08,-0.149331131772378
-0.075,-0.153637950699353
-0.07,-0.157989490985879
-0.065,-0.162385752631954
-0.06,-0.166826735637579
-0.055,-0.171312440002754
-0.05,-0.175842865727479
-0.045,-0.180418012811754
-0.04,-0.185037881255579
-0.035,-0.189702471058954
-0.03,-0.194411782221879
-0.025,-0.199165814744354
-0.02,-0.203964568626379
-0.015,-0.208808043867954
-0.01,-0.213696240469079
-0.005,-0.218629158429754
0,-0.223606797749979
0.005,-0.218629158429754
0.01,-0.213696240469079
0.015,-0.208808043867954
0.02,-0.203964568626379
0.025,-0.199165814744354
0.03,-0.194411782221879
0.035,-0.189702471058954
0.04,-0.185037881255579
0.045,-0.180418012811754
0.05,-0.175842865727479
0.055,-0.171312440002754
0.06,-0.166826735637579
0.065,-0.162385752631954
0.07,-0.157989490985879
0.075,-0.153637950699354
0.08,-0.149331131772378
0.085,-0.145069034204953
0.09,-0.140851657997078
0.095,-0.136679003148753
0.1,-0.132551069659978
0.105,-0.128467857530753
0.11,-0.124429366761078
0.115,-0.120435597350953
0.12,-0.116486549300378
0.125,-0.112582222609353
0.13,-0.108722617277878
0.135,-0.104907733305952
0.14,-0.101137570693577
0.145,-0.097412129440752
0.15,-0.093731409547477
0.155,-0.090095411013752
0.16,-0.086504133839577
0.165,-0.082957578024952
0.17,-0.079455743569877
0.175,-0.075998630474351
0.18,-0.072586238738376
0.185,-0.069218568361951
0.19,-0.065895619345076
0.195,-0.062617391687751
0.2,-0.059383885389976
0.205,-0.05619510045175
0.21,-0.053051036873075
0.215,-0.04995169465395
0.22,-0.046897073794375
0.225,-0.04388717429435
0.23,-0.040921996153875
0.235,-0.038001539372949
0.24,-0.035125803951574
0.245,-0.032294789889749
0.25,-0.029508497187474
0.255,-0.026766925844749
0.26,-0.024070075861573
0.265,-0.021417947237948
0.27,-0.018810539973873
0.275,-0.016247854069348
0.28,-0.013729889524372
0.285,-0.011256646338947
0.29,-0.008828124513072
0.295,-0.006444324046747
0.3,-0.004105244939971
0.305,-0.001810887192746
0.31,0.000438749194929
0.315,0.002643664223054
0.32,0.00480385789163
0.325,0.006919330200655
0.33,0.00899008115013
0.335,0.011016110740055
0.34,0.012997418970431
0.345,0.014934005841256
0.35,0.016825871352531
0.355,0.018673015504257
0.36,0.020475438296432
0.365,0.022233139729057
0.37,0.023946119802133
0.375,0.025614378515658
0.38,0.027237915869633
0.385,0.028816731864058
0.39,0.030350826498934
0.395,0.031840199774259
0.4,0.033284851690034
0.405,0.03468478224626
0.41,0.036039991442935
0.415,0.03735047928006
0.42,0.038616245757636
0.425,0.039837290875661
0.43,0.041013614634137
0.435,0.042145217033062
0.44,0.043232098072437
0.445,0.044274257752263
0.45,0.045271696072538
0.455,0.046224413033263
0.46,0.047132408634439
0.465,0.047995682876064
0.47,0.04881423575814
0.475,0.049588067280665
0.48,0.05031717744364
0.485,0.051001566247066
0.49,0.051641233690941
0.495,0.052236179775267
0.5,0.052786404500042
0.505,0.053291907865267
0.51,0.053752689870943
0.515,0.054168750517068
0.52,0.054540089803644
0.525,0.054866707730669
0.53,0.055148604298145
0.535,0.05538577950607
0.54,0.055578233354446
0.545,0.055725965843271
0.55,0.055828976972547
0.555,0.055887266742272
0.56,0.055900835152447
0.565,0.055869682203073
0.57,0.055793807894148
0.575,0.055673212225674
0.58,0.055507895197649
0.585,0.055297856810075
0.59,0.05504309706295
0.595,0.054743615956276
0.6,0.054399413490052
0.605,0.054010489664277
0.61,0.053576844478953
0.615,0.053098477934078
0.62,0.052575390029653
0.625,0.052007580765679
0.63,0.051395050142155
0.635,0.05073779815908
0.64,0.050035824816456
0.645,0.049289130114281
0.65,0.048497714052557
0.655,0.047661576631282
0.66,0.046780717850458
0.665,0.045855137710083
0.67,0.044884836210159
0.675,0.043869813350684
0.68,0.04281006913166
0.685,0.041705603553086
0.69,0.040556416614961
0.695,0.039362508317287
0.7,0.038123878660062
0.705,0.036840527643288
0.71,0.035512455266964
0.715,0.034139661531089
0.72,0.032722146435665
0.725,0.03125990998069
0.73,0.029752952166166
0.735,0.028201272992092
0.74,0.026604872458467
