x,y
-1,1.68
-0.995,1.667025
-0.99,1.6541
-0.985,1.641225
-0.98,1.6284
-0.975,1.615625
-0.97,1.6029
-0.965,1.590225
-0.96,1.5776
-0.955,1.565025
-0.95,1.5525
-0.945,1.540025
-0.94,1.5276
-0.935,1.515225
-0.93,1.5029
-0.925,1.490625
-0.92,1.4784
-0.915,1.466225
-0.91,1.4541
-0.905,1.442025
-0.9,1.43
-0.895,1.418025
-0.89,1.4061
-0.885,1.394225
-0.88,1.3824
-0.875,1.370625
-0.87,1.3589
-0.865,1.347225
-0.86,1.3356
-0.855,1.324025
-0.85,1.3125
-0.845,1.301025
-0.84,1.2896
-0.835,1.278225
-0.83,1.2669
-0.825,1.255625
-0.82,1.2444
-0.815,1.233225
-0.81,1.2221
-0.805,1.211025
-0.8,1.2
-0.795,1.189025
-0.79,1.1781
-0.785,1.167225
-0.78,1.1564
-0.775,1.145625
-0.77,1.1349
-0.765,1.124225
-0.76,1.1136
-0.755,1.103025
-0.75,1.0925
-0.745,1.082025
-0.74,1.0716
-0.735,1.061225
-0.73,1.0509
-0.725,1.040625
-0.72,1.0304
-0.715,1.020225
-0.71,1.0101
-0.705,1.000025
-0.7,0.99
-0.695,0.980025
-0.69,0.9701
-0.685,0.960225
-0.68,0.9504
-0.675,0.940625
-0.67,0.9309
-0.665,0.921225
-0.66,0.9116
-0.655,0.902025
-0.65,0.8925
-0.645,0.883025
-0.64,0.8736
-0.635,0.864225
-0.63,0.8549
-0.625,0.845625
-0.62,0.8364
-0.615,0.827225
-0.61,0.8181
-0.605,0.809025
-0.6,0.8
-0.595,0.791025
-0.59,0.7821
-0.585,0.773225
-0.58,0.7644
-0.575,0.755625
-0.57,0.7469
-0.565,0.738225
-0.56,0.7296
-0.555,0.721025
-0.55,0.7125
-0.545,0.704025
-0.54,0.6956
-0.535,0.687225
-0.53,0.6789
-0.525,0.670625
-0.52,0.6624
-0.515,0.654225
-0.51,0.6461
-0.505,0.638025
-0.5,0.63
-0.495,0.622025
